ID,NAME,CALORIE,FAT,GLUTEN,PROTEIN,PRICE
241,Spinach,23,0.0,No,2.9,0.6
242,Chicken,165,1.0,No,31.0,3.0
243,Almonds,579,4.4,No,21.2,1.5
244,Bread,265,0.7,Yes,9.0,1.2
245,Potato,77,0.0,No,2.0,0.8
246,Apple,52,0.0,No,0.3,0.5
247,Avocado,160,2.1,No,2.0,1.75
248,Cheese,402,19.0,No,25.0,2.5
249,Strawberry,32,0.0,No,0.7,0.9
250,Milk,42,1.0,No,3.4,0.9
251,Lettuce,15,0.0,No,1.4,0.7
252,Egg,155,1.6,No,13.0,0.2
253,Carrot,41,0.0,No,0.9,0.3
254,Lettuce,15,0.0,No,1.4,0.7
255,Potato,77,0.0,No,2.0,0.8
256,Cheese,402,19.0,No,25.0,2.5
257,Rice,130,0.2,No,2.7,1.1
258,Salmon,208,3.1,No,20.4,5.0
259,Apple,52,0.0,No,0.3,0.5
260,Peanut Butter,588,10.0,No,25.0,3.5
261,Tomato,18,0.0,No,0.9,0.35
262,Egg,155,1.6,No,13.0,0.2
263,Rice,130,0.2,No,2.7,1.1
264,Lettuce,15,0.0,No,1.4,0.7
265,Beef,250,5.0,No,26.0,4.0
266,Banana,89,0.1,No,1.1,0.4
267,Pasta,158,0.3,Yes,5.8,1.5
268,Rice,130,0.2,No,2.7,1.1
269,Tomato,18,0.0,No,0.9,0.35
270,Spinach,23,0.0,No,2.9,0.6
271,Tomato,18,0.0,No,0.9,0.35
272,Apple,52,0.0,No,0.3,0.5
273,Potato,77,0.0,No,2.0,0.8
274,Peanut Butter,588,10.0,No,25.0,3.5
275,Avocado,160,2.1,No,2.0,1.75
276,Spinach,23,0.0,No,2.9,0.6
277,Almonds,579,4.4,No,21.2,1.5
278,Cheese,402,19.0,No,25.0,2.5
279,Apple,52,0.0,No,0.3,0.5
280,Lettuce,15,0.0,No,1.4,0.7
281,Milk,42,1.0,No,3.4,0.9
282,Rice,130,0.2,No,2.7,1.1
283,Pasta,158,0.3,Yes,5.8,1.5
284,Banana,89,0.1,No,1.1,0.4
285,Beef,250,5.0,No,26.0,4.0
286,Pasta,158,0.3,Yes,5.8,1.5
287,Chicken,165,1.0,No,31.0,3.0
288,Spinach,23,0.0,No,2.9,0.6
289,Almonds,579,4.4,No,21.2,1.5
290,Milk,42,1.0,No,3.4,0.9
291,Chicken,165,1.0,No,31.0,3.0
292,Spinach,23,0.0,No,2.9,0.6
293,Egg,155,1.6,No,13.0,0.2
294,Rice,130,0.2,No,2.7,1.1
295,Salmon,208,3.1,No,20.4,5.0
296,Milk,42,1.0,No,3.4,0.9
297,Chicken,165,1.0,No,31.0,3.0
298,Milk,42,1.0,No,3.4,0.9
299,Apple,52,0.0,No,0.3,0.5
300,Egg,155,1.6,No,13.0,0.2
301,Carrot,41,0.0,No,0.9,0.3
302,Rice,130,0.2,No,2.7,1.1
303,Pasta,158,0.3,Yes,5.8,1.5
304,Peanut Butter,588,10.0,No,25.0,3.5
305,Rice,130,0.2,No,2.7,1.1
306,Tomato,18,0.0,No,0.9,0.35
307,Beef,250,5.0,No,26.0,4.0
308,Salmon,208,3.1,No,20.4,5.0
309,Peanut Butter,588,10.0,No,25.0,3.5
310,Potato,77,0.0,No,2.0,0.8
311,Pasta,158,0.3,Yes,5.8,1.5
312,Potato,77,0.0,No,2.0,0.8
313,Pasta,158,0.3,Yes,5.8,1.5
314,Apple,52,0.0,No,0.3,0.5
315,Strawberry,32,0.0,No,0.7,0.9
316,Peanut Butter,588,10.0,No,25.0,3.5
317,Egg,155,1.6,No,13.0,0.2
318,Almonds,579,4.4,No,21.2,1.5
319,Milk,42,1.0,No,3.4,0.9
320,Lettuce,15,0.0,No,1.4,0.7
321,Avocado,160,2.1,No,2.0,1.75
322,Spinach,23,0.0,No,2.9,0.6
323,Bread,265,0.7,Yes,9.0,1.2
324,Cheese,402,19.0,No,25.0,2.5
325,Rice,130,0.2,No,2.7,1.1
326,Carrot,41,0.0,No,0.9,0.3
327,Potato,77,0.0,No,2.0,0.8
328,Lettuce,15,0.0,No,1.4,0.7
329,Carrot,41,0.0,No,0.9,0.3
330,Egg,155,1.6,No,13.0,0.2
331,Strawberry,32,0.0,No,0.7,0.9
332,Peanut Butter,588,10.0,No,25.0,3.5
333,Beef,250,5.0,No,26.0,4.0
334,Spinach,23,0.0,No,2.9,0.6
335,Apple,52,0.0,No,0.3,0.5
336,Banana,89,0.1,No,1.1,0.4
337,Rice,130,0.2,No,2.7,1.1
338,Lettuce,15,0.0,No,1.4,0.7
339,Avocado,160,2.1,No,2.0,1.75
340,Spinach,23,0.0,No,2.9,0.6
341,Rice,130,0.2,No,2.7,1.1
342,Cheese,402,19.0,No,25.0,2.5
343,Peanut Butter,588,10.0,No,25.0,3.5
344,Salmon,208,3.1,No,20.4,5.0
345,Apple,52,0.0,No,0.3,0.5
346,Apple,52,0.0,No,0.3,0.5
347,Apple,52,0.0,No,0.3,0.5
348,Avocado,160,2.1,No,2.0,1.75
349,Salmon,208,3.1,No,20.4,5.0
350,Spinach,23,0.0,No,2.9,0.6
351,Lettuce,15,0.0,No,1.4,0.7
352,Beef,250,5.0,No,26.0,4.0
353,Beef,250,5.0,No,26.0,4.0
354,Lettuce,15,0.0,No,1.4,0.7
355,Rice,130,0.2,No,2.7,1.1
356,Chicken,165,1.0,No,31.0,3.0
357,Chicken,165,1.0,No,31.0,3.0
358,Tomato,18,0.0,No,0.9,0.35
359,Cheese,402,19.0,No,25.0,2.5
360,Peanut Butter,588,10.0,No,25.0,3.5
361,Strawberry,32,0.0,No,0.7,0.9
362,Salmon,208,3.1,No,20.4,5.0
363,Rice,130,0.2,No,2.7,1.1
364,Apple,52,0.0,No,0.3,0.5
365,Spinach,23,0.0,No,2.9,0.6
366,Egg,155,1.6,No,13.0,0.2
367,Milk,42,1.0,No,3.4,0.9
368,Milk,42,1.0,No,3.4,0.9
369,Carrot,41,0.0,No,0.9,0.3
370,Egg,155,1.6,No,13.0,0.2
371,Pasta,158,0.3,Yes,5.8,1.5
372,Chicken,165,1.0,No,31.0,3.0
373,Carrot,41,0.0,No,0.9,0.3
374,Cheese,402,19.0,No,25.0,2.5
375,Milk,42,1.0,No,3.4,0.9
376,Peanut Butter,588,10.0,No,25.0,3.5
377,Peanut Butter,588,10.0,No,25.0,3.5
378,Banana,89,0.1,No,1.1,0.4
379,Almonds,579,4.4,No,21.2,1.5
380,Rice,130,0.2,No,2.7,1.1
381,Potato,77,0.0,No,2.0,0.8
382,Apple,52,0.0,No,0.3,0.5
383,Milk,42,1.0,No,3.4,0.9
384,Salmon,208,3.1,No,20.4,5.0
385,Banana,89,0.1,No,1.1,0.4
386,Tomato,18,0.0,No,0.9,0.35
387,Egg,155,1.6,No,13.0,0.2
388,Carrot,41,0.0,No,0.9,0.3
389,Spinach,23,0.0,No,2.9,0.6
390,Apple,52,0.0,No,0.3,0.5
391,Apple,52,0.0,No,0.3,0.5
392,Chicken,165,1.0,No,31.0,3.0
393,Strawberry,32,0.0,No,0.7,0.9
394,Rice,130,0.2,No,2.7,1.1
395,Milk,42,1.0,No,3.4,0.9
396,Potato,77,0.0,No,2.0,0.8
397,Egg,155,1.6,No,13.0,0.2
398,Strawberry,32,0.0,No,0.7,0.9
399,Rice,130,0.2,No,2.7,1.1
400,Salmon,208,3.1,No,20.4,5.0
401,Peanut Butter,588,10.0,No,25.0,3.5
402,Apple,52,0.0,No,0.3,0.5
403,Rice,130,0.2,No,2.7,1.1
404,Banana,89,0.1,No,1.1,0.4
405,Avocado,160,2.1,No,2.0,1.75
406,Strawberry,32,0.0,No,0.7,0.9
407,Carrot,41,0.0,No,0.9,0.3
408,Carrot,41,0.0,No,0.9,0.3
409,Almonds,579,4.4,No,21.2,1.5
410,Carrot,41,0.0,No,0.9,0.3
411,Salmon,208,3.1,No,20.4,5.0
412,Rice,130,0.2,No,2.7,1.1
413,Apple,52,0.0,No,0.3,0.5
414,Banana,89,0.1,No,1.1,0.4
415,Avocado,160,2.1,No,2.0,1.75
416,Peanut Butter,588,10.0,No,25.0,3.5
417,Cheese,402,19.0,No,25.0,2.5
418,Pasta,158,0.3,Yes,5.8,1.5
419,Almonds,579,4.4,No,21.2,1.5
420,Tomato,18,0.0,No,0.9,0.35
421,Carrot,41,0.0,No,0.9,0.3
422,Potato,77,0.0,No,2.0,0.8
423,Chicken,165,1.0,No,31.0,3.0
424,Bread,265,0.7,Yes,9.0,1.2
425,Carrot,41,0.0,No,0.9,0.3
426,Spinach,23,0.0,No,2.9,0.6
427,Tomato,18,0.0,No,0.9,0.35
428,Beef,250,5.0,No,26.0,4.0
429,Rice,130,0.2,No,2.7,1.1
430,Avocado,160,2.1,No,2.0,1.75
431,Almonds,579,4.4,No,21.2,1.5
432,Banana,89,0.1,No,1.1,0.4
433,Tomato,18,0.0,No,0.9,0.35
434,Beef,250,5.0,No,26.0,4.0
435,Beef,250,5.0,No,26.0,4.0
436,Potato,77,0.0,No,2.0,0.8
437,Almonds,579,4.4,No,21.2,1.5
438,Milk,42,1.0,No,3.4,0.9
439,Spinach,23,0.0,No,2.9,0.6
440,Lettuce,15,0.0,No,1.4,0.7
441,Tomato,18,0.0,No,0.9,0.35
442,Beef,250,5.0,No,26.0,4.0
443,Bread,265,0.7,Yes,9.0,1.2
444,Peanut Butter,588,10.0,No,25.0,3.5
445,Lettuce,15,0.0,No,1.4,0.7
446,Cheese,402,19.0,No,25.0,2.5
447,Rice,130,0.2,No,2.7,1.1
448,Potato,77,0.0,No,2.0,0.8
449,Egg,155,1.6,No,13.0,0.2
450,Spinach,23,0.0,No,2.9,0.6
451,Avocado,160,2.1,No,2.0,1.75
452,Bread,265,0.7,Yes,9.0,1.2
453,Potato,77,0.0,No,2.0,0.8
454,Cheese,402,19.0,No,25.0,2.5
455,Almonds,579,4.4,No,21.2,1.5
456,Peanut Butter,588,10.0,No,25.0,3.5
457,Banana,89,0.1,No,1.1,0.4
458,Beef,250,5.0,No,26.0,4.0
459,Carrot,41,0.0,No,0.9,0.3
460,Strawberry,32,0.0,No,0.7,0.9
461,Chicken,165,1.0,No,31.0,3.0
462,Strawberry,32,0.0,No,0.7,0.9
463,Egg,155,1.6,No,13.0,0.2
464,Strawberry,32,0.0,No,0.7,0.9
465,Carrot,41,0.0,No,0.9,0.3
466,Lettuce,15,0.0,No,1.4,0.7
467,Rice,130,0.2,No,2.7,1.1
468,Rice,130,0.2,No,2.7,1.1
469,Avocado,160,2.1,No,2.0,1.75
470,Egg,155,1.6,No,13.0,0.2
471,Spinach,23,0.0,No,2.9,0.6
472,Strawberry,32,0.0,No,0.7,0.9
473,Spinach,23,0.0,No,2.9,0.6
474,Rice,130,0.2,No,2.7,1.1
475,Spinach,23,0.0,No,2.9,0.6
476,Chicken,165,1.0,No,31.0,3.0
477,Bread,265,0.7,Yes,9.0,1.2
478,Apple,52,0.0,No,0.3,0.5
479,Peanut Butter,588,10.0,No,25.0,3.5
480,Salmon,208,3.1,No,20.4,5.0
481,Avocado,160,2.1,No,2.0,1.75
482,Carrot,41,0.0,No,0.9,0.3
483,Banana,89,0.1,No,1.1,0.4
484,Chicken,165,1.0,No,31.0,3.0
485,Carrot,41,0.0,No,0.9,0.3
486,Lettuce,15,0.0,No,1.4,0.7
487,Rice,130,0.2,No,2.7,1.1
488,Potato,77,0.0,No,2.0,0.8
489,Lettuce,15,0.0,No,1.4,0.7
490,Strawberry,32,0.0,No,0.7,0.9
491,Carrot,41,0.0,No,0.9,0.3
492,Peanut Butter,588,10.0,No,25.0,3.5
493,Peanut Butter,588,10.0,No,25.0,3.5
494,Milk,42,1.0,No,3.4,0.9
495,Rice,130,0.2,No,2.7,1.1
496,Chicken,165,1.0,No,31.0,3.0
497,Spinach,23,0.0,No,2.9,0.6
498,Carrot,41,0.0,No,0.9,0.3
499,Rice,130,0.2,No,2.7,1.1
500,Avocado,160,2.1,No,2.0,1.75
501,Almonds,579,4.4,No,21.2,1.5
502,Almonds,579,4.4,No,21.2,1.5
503,Cheese,402,19.0,No,25.0,2.5
504,Salmon,208,3.1,No,20.4,5.0
505,Peanut Butter,588,10.0,No,25.0,3.5
506,Avocado,160,2.1,No,2.0,1.75
507,Bread,265,0.7,Yes,9.0,1.2
508,Peanut Butter,588,10.0,No,25.0,3.5
509,Cheese,402,19.0,No,25.0,2.5
510,Milk,42,1.0,No,3.4,0.9
511,Lettuce,15,0.0,No,1.4,0.7
512,Salmon,208,3.1,No,20.4,5.0
513,Pasta,158,0.3,Yes,5.8,1.5
514,Almonds,579,4.4,No,21.2,1.5
515,Beef,250,5.0,No,26.0,4.0
516,Avocado,160,2.1,No,2.0,1.75
517,Bread,265,0.7,Yes,9.0,1.2
518,Lettuce,15,0.0,No,1.4,0.7
519,Bread,265,0.7,Yes,9.0,1.2
520,Peanut Butter,588,10.0,No,25.0,3.5
521,Banana,89,0.1,No,1.1,0.4
522,Spinach,23,0.0,No,2.9,0.6
523,Potato,77,0.0,No,2.0,0.8
524,Salmon,208,3.1,No,20.4,5.0
525,Tomato,18,0.0,No,0.9,0.35
526,Carrot,41,0.0,No,0.9,0.3
527,Apple,52,0.0,No,0.3,0.5
528,Cheese,402,19.0,No,25.0,2.5
529,Salmon,208,3.1,No,20.4,5.0
530,Beef,250,5.0,No,26.0,4.0
531,Bread,265,0.7,Yes,9.0,1.2
532,Potato,77,0.0,No,2.0,0.8
533,Peanut Butter,588,10.0,No,25.0,3.5
534,Bread,265,0.7,Yes,9.0,1.2
535,Carrot,41,0.0,No,0.9,0.3
536,Almonds,579,4.4,No,21.2,1.5
537,Lettuce,15,0.0,No,1.4,0.7
538,Chicken,165,1.0,No,31.0,3.0
539,Peanut Butter,588,10.0,No,25.0,3.5
540,Rice,130,0.2,No,2.7,1.1
541,Cheese,402,19.0,No,25.0,2.5
542,Tomato,18,0.0,No,0.9,0.35
543,Beef,250,5.0,No,26.0,4.0
544,Tomato,18,0.0,No,0.9,0.35
545,Chicken,165,1.0,No,31.0,3.0
546,Avocado,160,2.1,No,2.0,1.75
547,Chicken,165,1.0,No,31.0,3.0
548,Strawberry,32,0.0,No,0.7,0.9
549,Pasta,158,0.3,Yes,5.8,1.5
550,Salmon,208,3.1,No,20.4,5.0
551,Rice,130,0.2,No,2.7,1.1
552,Chicken,165,1.0,No,31.0,3.0
553,Milk,42,1.0,No,3.4,0.9
554,Banana,89,0.1,No,1.1,0.4
555,Milk,42,1.0,No,3.4,0.9
556,Potato,77,0.0,No,2.0,0.8
557,Milk,42,1.0,No,3.4,0.9
558,Bread,265,0.7,Yes,9.0,1.2
559,Lettuce,15,0.0,No,1.4,0.7
560,Strawberry,32,0.0,No,0.7,0.9
561,Cheese,402,19.0,No,25.0,2.5
562,Milk,42,1.0,No,3.4,0.9
563,Beef,250,5.0,No,26.0,4.0
564,Banana,89,0.1,No,1.1,0.4
565,Lettuce,15,0.0,No,1.4,0.7
566,Cheese,402,19.0,No,25.0,2.5
567,Potato,77,0.0,No,2.0,0.8
568,Carrot,41,0.0,No,0.9,0.3
569,Rice,130,0.2,No,2.7,1.1
570,Peanut Butter,588,10.0,No,25.0,3.5
571,Carrot,41,0.0,No,0.9,0.3
572,Milk,42,1.0,No,3.4,0.9
573,Bread,265,0.7,Yes,9.0,1.2
574,Pasta,158,0.3,Yes,5.8,1.5
575,Salmon,208,3.1,No,20.4,5.0
576,Banana,89,0.1,No,1.1,0.4
577,Apple,52,0.0,No,0.3,0.5
578,Potato,77,0.0,No,2.0,0.8
579,Egg,155,1.6,No,13.0,0.2
580,Lettuce,15,0.0,No,1.4,0.7
581,Milk,42,1.0,No,3.4,0.9
582,Avocado,160,2.1,No,2.0,1.75
583,Bread,265,0.7,Yes,9.0,1.2
584,Tomato,18,0.0,No,0.9,0.35
585,Milk,42,1.0,No,3.4,0.9
586,Lettuce,15,0.0,No,1.4,0.7
587,Egg,155,1.6,No,13.0,0.2
588,Beef,250,5.0,No,26.0,4.0
589,Beef,250,5.0,No,26.0,4.0
590,Avocado,160,2.1,No,2.0,1.75
591,Potato,77,0.0,No,2.0,0.8
592,Milk,42,1.0,No,3.4,0.9
593,Avocado,160,2.1,No,2.0,1.75
594,Avocado,160,2.1,No,2.0,1.75
595,Cheese,402,19.0,No,25.0,2.5
596,Chicken,165,1.0,No,31.0,3.0
597,Cheese,402,19.0,No,25.0,2.5
598,Milk,42,1.0,No,3.4,0.9
599,Apple,52,0.0,No,0.3,0.5
600,Lettuce,15,0.0,No,1.4,0.7
601,Lettuce,15,0.0,No,1.4,0.7
602,Beef,250,5.0,No,26.0,4.0
603,Cheese,402,19.0,No,25.0,2.5
604,Salmon,208,3.1,No,20.4,5.0
